,Distance,ElapsedTime,ElevationGain,ElevationMax,ElevationMin,HeartRate,MovingTime,Speed,Temp,SpeedDist
2019-01-18 20:42:43-08:00,14512.0,4262,80.0,,,146.8,4121,3.521,20.0,51096.752
2019-01-18 02:12:05-08:00,11778.8,3353,38.0,,,145.4,3317,3.551,15.0,41826.5188
2019-01-17 01:17:49-08:00,24531.3,7028,306.0,,,152.2,6688,3.668,16.0,89980.8084
2019-01-16 03:12:27-08:00,1980.1,591,1.0,,,154.2,591,3.35,14.0,6633.335
2019-01-16 02:33:01-08:00,8328.9,2024,45.0,,,154.8,1996,4.173,13.0,34756.4997
2019-01-16 02:02:55-08:00,4221.7,1382,10.0,,,133.3,1270,3.324,20.0,14032.930799999998
2019-01-14 23:37:39-08:00,9946.9,3627,90.0,,,147.3,3526,2.821,16.0,28060.2049
2019-01-14 17:20:59-08:00,6629.7,2044,20.0,,,140.0,2033,3.261,16.0,21619.4517
2019-01-13 18:18:52-08:00,25770.1,7154,458.0,,,156.0,7149,3.605,18.0,92901.2105
2019-01-12 15:37:32-08:00,6975.9,2341,23.0,,,147.2,2217,3.147,14.0,21953.1573
2019-01-12 02:07:35-08:00,16121.6,4526,65.0,,,153.7,4284,3.763,15.0,60665.5808
2019-01-11 01:26:03-08:00,3260.9,1044,64.0,,,140.2,1042,3.129,17.0,10203.3561
2019-01-10 22:00:15-08:00,7635.6,3204,279.0,,,134.9,3167,2.411,17.0,18409.4316
2019-01-09 21:30:05-08:00,11639.3,3602,53.0,,,114.3,3523,3.304,16.0,38456.2472
2019-01-09 20:05:35-08:00,10705.0,3924,267.0,,,130.0,3870,2.766,19.0,29610.03
2019-01-09 03:19:39-08:00,2073.6,811,18.0,,,129.8,694,2.988,20.0,6195.9168
2019-01-09 03:04:03-08:00,1749.4,509,9.0,,,137.8,509,3.437,18.0,6012.6878
2019-01-09 02:33:48-08:00,6520.0,1315,27.0,,,139.4,1315,4.958,16.0,32326.16
2019-01-09 01:52:12-08:00,6088.2,1964,16.0,,,144.7,1670,3.646,19.0,22197.5772
2019-01-07 21:50:22-08:00,9136.7,3467,322.0,,,145.8,3416,2.675,17.0,24440.6725
2019-01-06 22:05:40-08:00,3549.6,1060,17.0,,,144.7,1060,3.349,11.0,11887.6104
2019-01-06 21:05:38-08:00,16104.9,3576,83.0,,,152.9,3576,4.504,11.0,72536.4696
2019-01-06 20:17:07-08:00,9666.5,2805,47.0,,,148.7,2484,3.892,12.0,37622.018
2019-01-06 00:17:58-08:00,8932.1,2762,42.0,,,137.4,2745,3.254,16.0,29065.0534
2019-01-05 00:42:57-08:00,17752.6,4685,60.0,,,145.2,4600,3.859,16.0,68507.2834
2019-01-03 19:44:20-08:00,13538.8,4845,295.0,,,129.1,4839,2.798,18.0,37881.562399999995
2019-01-02 23:56:16-08:00,24155.0,6323,241.0,,,149.0,6235,3.874,12.0,93576.47
2019-01-01 22:33:09-08:00,3714.5,1331,27.0,,,138.0,1176,3.159,21.0,11734.1055
2019-01-01 22:03:42-08:00,7261.9,1744,30.0,,,150.3,1704,4.262,16.0,30950.217799999995
2019-01-01 21:36:04-08:00,4338.1,1404,14.0,,,127.7,1289,3.365,19.0,14597.706500000002
2019-01-01 02:00:34-08:00,11415.9,3295,78.0,,,141.4,3291,3.469,12.0,39601.757099999995
2018-12-31 04:49:15+00:00,5696.0,1912,36.0,,,152.0,1594,3.573,15.0,20351.808
2018-12-30 08:29:17+00:00,10347.5,3937,204.0,,,136.2,3263,3.171,15.0,32811.9225
2018-12-28 13:05:37+00:00,1110.4,479,10.0,,,135.0,441,2.518,14.0,2795.9872
2018-12-28 12:32:07+00:00,5101.3,962,36.0,,,137.8,962,5.303,13.0,27052.193900000002
2018-12-28 12:13:23+00:00,1707.9,827,5.0,,,141.0,551,3.1,17.0,5294.490000000001
2018-12-27 08:39:16+00:00,9817.4,2867,160.0,,,140.9,2847,3.448,8.0,33850.3952
2018-12-24 08:19:29+00:00,8220.5,3471,161.0,,,150.9,2815,2.92,8.0,24003.86
2018-12-22 18:23:48+00:00,13194.0,4206,140.0,,,134.6,4075,3.238,11.0,42722.172
2018-12-21 22:05:38+00:00,1958.6,712,12.0,,,127.2,679,2.885,22.0,5650.561
2018-12-21 17:21:27+00:00,7388.5,2388,37.0,,,146.0,2114,3.495,15.0,25822.8075
2018-12-21 08:47:25+00:00,5327.2,1573,13.0,,,145.6,1533,3.475,16.0,18512.02
2018-12-20 18:16:54+00:00,8210.6,2613,50.0,,,149.0,2415,3.4,14.0,27916.04
2018-12-20 07:28:49+00:00,4840.9,1375,2.3,,,,1351,3.583,,17344.9447
2018-12-19 21:34:00+00:00,5791.4,5793,66.0,,,132.8,2890,2.004,17.0,11605.9656
2018-12-19 08:39:36+00:00,5933.6,1881,13.0,,,142.9,1815,3.269,14.0,19396.938400000003
2018-12-18 14:11:03+00:00,4392.1,1417,22.0,,,150.6,1387,3.167,12.0,13909.780700000001
2018-12-18 13:24:22+00:00,8555.0,2785,44.0,,,151.2,2314,3.697,12.0,31627.835
2018-12-18 13:01:40+00:00,3497.8,1003,25.0,,,132.3,997,3.508,17.0,12270.2824
2018-12-17 15:03:17+00:00,9666.5,3182,38.0,,,140.0,2770,3.49,14.0,33736.085
2018-12-16 07:42:30+00:00,11398.7,4138,357.0,,,152.0,3910,2.915,14.0,33227.2105
2018-12-15 08:45:50+00:00,43592.9,18559,1665.0,,,146.1,17538,2.349,12.0,102399.72210000001
2018-12-13 17:07:57+00:00,6675.2,2112,94.0,,,146.6,2081,3.208,9.0,21414.0416
2018-12-12 21:44:48-08:00,16289.2,4096,67.0,,,151.0,4096,3.977,21.0,64782.1484
2018-12-12 03:20:19-08:00,1759.0,549,4.0,,,147.6,549,3.204,11.0,5635.836
2018-12-12 02:35:27-08:00,7851.4,2198,28.0,,,154.5,2195,3.577,11.0,28084.4578
2018-12-12 02:06:30-08:00,3480.4,1000,21.0,,,145.4,962,3.618,20.0,12592.0872
2018-12-11 00:40:40-08:00,9709.2,2944,14.0,,,150.3,2685,3.616,13.0,35108.46720000001
2018-12-09 16:38:46-08:00,22863.8,6063,225.0,,,149.9,5694,4.015,11.0,91798.15699999999
2018-12-08 22:25:06-08:00,9664.8,2696,44.0,,,148.3,2686,3.598,22.0,34773.950399999994
2018-12-07 13:57:29-08:00,16101.7,6213,343.0,,,149.4,5045,3.192,11.0,51396.62640000001
2018-12-07 00:53:03-08:00,9704.8,3025,191.0,,,140.0,2942,3.299,17.0,32016.135199999997
2018-12-05 21:36:22-08:00,21038.6,5476,72.0,,,145.9,5472,3.845,16.0,80893.417
2018-12-05 03:10:19-08:00,1676.5,522,9.0,,,157.1,519,3.23,16.0,5415.095
2018-12-05 02:28:54-08:00,8438.9,2109,36.0,,,157.5,2023,4.171,14.0,35198.6519
2018-12-05 02:01:11-08:00,4166.8,1384,22.0,,,142.2,1215,3.429,17.0,14287.9572
2018-12-03 23:23:32-08:00,9664.8,4716,38.0,,,149.1,2692,3.59,17.0,34696.632
2018-12-02 14:31:33-08:00,29275.5,9559,616.0,,,163.2,9252,3.164,7.0,92627.682
2018-12-01 16:07:07-08:00,9703.7,3049,50.0,,,138.5,2686,3.613,13.0,35059.468100000006
2018-12-01 00:53:44-08:00,12918.1,4402,50.0,,,140.4,3722,3.471,14.0,44838.7251
2018-11-29 23:27:39-08:00,11383.4,3393,41.0,,,153.0,3328,3.42,16.0,38931.227999999996
2018-11-28 21:00:36-08:00,16303.0,4110,67.0,,,149.1,4110,3.967,21.0,64674.001000000004
2018-11-28 03:09:16-08:00,1741.8,506,7.0,,,146.2,503,3.463,16.0,6031.8534
2018-11-28 02:39:14-08:00,6554.1,1319,25.0,,,144.5,1319,4.969,15.0,32567.322900000003
2018-11-28 02:09:52-08:00,3541.4,922,7.0,,,139.4,914,3.875,20.0,13722.925000000001
2018-11-27 00:56:00-08:00,8068.7,2506,125.0,,,141.3,2476,3.259,16.0,26295.8933
2018-11-26 05:02:28-08:00,5574.1,1586,17.0,,,142.8,1586,3.515,16.0,19592.9615
2018-11-25 16:02:52-08:00,5117.5,1415,11.0,,,143.9,1312,3.901,20.0,19963.3675
2018-11-23 13:55:11-08:00,32748.7,27507,3259.0,,,121.8,23756,1.379,15.0,45160.4573
2018-11-22 19:47:24-08:00,8141.7,3246,25.0,,,150.2,2920,2.788,26.0,22699.059599999997
2018-11-21 14:09:41-08:00,14681.4,5738,321.0,,,147.7,5049,2.908,15.0,42693.5112
2018-11-21 01:25:08-08:00,7133.6,1821,21.0,,,150.0,1819,3.922,17.0,27977.9792
2018-11-20 02:05:22-08:00,8369.1,2203,26.0,,,140.8,2203,3.799,15.0,31794.210900000002
2018-11-19 01:31:19-08:00,2650.1,873,18.0,,,133.7,856,3.096,19.0,8204.7096
2018-11-18 21:59:11-08:00,9689.7,3715,486.0,,,145.6,3633,2.667,21.0,25842.4299
2018-11-18 20:36:46-08:00,4904.9,1966,85.0,,,139.2,1503,3.263,23.0,16004.688699999999
2018-11-18 14:35:23-08:00,8315.0,2994,191.0,,,144.6,2508,3.315,10.0,27564.225
2018-11-17 16:47:11-08:00,10001.7,2088,36.0,,,143.9,2088,4.79,14.0,47908.143000000004
2018-11-17 15:59:41-08:00,4376.9,2195,17.0,,,130.8,1241,3.527,13.0,15437.326299999999
2018-11-16 19:36:41-08:00,8346.9,2272,31.0,,,141.4,2259,3.695,20.0,30841.795499999997
2018-11-16 00:00:35-08:00,6928.5,2357,38.0,,,149.0,2084,3.325,19.0,23037.2625
2018-11-15 02:13:13-08:00,3893.5,1617,21.0,,,147.1,1557,2.501,19.0,9737.6435
2018-11-14 01:40:59-08:00,1713.1,530,3.0,,,152.3,488,3.51,15.0,6012.981
2018-11-14 01:07:36-08:00,7489.6,1924,25.0,,,156.2,1924,3.893,15.0,29157.0128
2018-11-14 00:39:07-08:00,4149.9,1410,13.0,,,144.3,1206,3.441,20.0,14279.805899999998
2018-11-12 17:51:31-08:00,8326.6,2973,165.0,,,148.9,2933,2.839,19.0,23639.2174
2018-11-10 17:07:52-08:00,9334.9,3595,165.0,,,150.2,3347,2.789,16.0,26035.0361
2018-11-10 00:55:56-08:00,11555.1,3503,273.0,,,155.8,3484,3.317,17.0,38328.2667
2018-11-07 23:45:24-08:00,8344.0,2155,24.0,,,150.7,2155,3.872,20.0,32307.968
2018-11-07 03:19:24-08:00,1797.6,537,3.0,,,140.0,537,3.347,15.0,6016.5671999999995
2018-11-07 02:39:03-08:00,7186.6,1980,17.0,,,155.7,1975,3.639,14.0,26152.0374
2018-11-07 02:09:21-08:00,4252.9,1379,15.0,,,141.8,1167,3.644,17.0,15497.567599999998
2018-11-04 21:42:35-08:00,14651.6,4686,269.0,,,145.3,4481,3.27,22.0,47910.732
2018-11-03 18:16:33-07:00,19426.7,7032,106.0,,,139.8,6936,2.801,22.0,54414.186700000006
2018-11-02 23:56:55-07:00,8315.9,2632,36.0,,,141.6,2269,3.665,22.0,30477.7735
2018-11-01 22:37:36-07:00,6458.0,1796,25.0,,,146.1,1793,3.602,24.0,23261.716
2018-11-01 11:40:00-07:00,8211.3,2825,184.0,,,141.3,2602,3.156,16.0,25914.8628
2018-10-31 23:57:20-07:00,6739.7,1903,30.0,,,149.6,1903,3.542,21.0,23872.017399999997
2018-10-31 02:11:39-07:00,1777.1,509,12.0,,,154.4,509,3.491,16.0,6203.8561
2018-10-31 01:36:46-07:00,7201.2,1832,20.0,,,155.6,1814,3.97,15.0,28588.764
2018-10-31 01:08:57-07:00,3993.5,1504,18.0,,,134.9,1069,3.736,20.0,14919.716
2018-10-30 00:19:31-07:00,6030.0,1838,31.0,,,144.3,1748,3.45,23.0,20803.5
2018-10-28 16:11:24-07:00,13948.0,3719,143.0,,,151.8,3617,3.856,14.0,53783.488
2018-10-27 18:29:15-07:00,7325.6,2921,324.0,,,139.5,2762,2.652,27.0,19427.4912
2018-10-25 20:03:23-07:00,19899.7,5269,129.0,,,159.0,4903,4.059,24.0,80772.88230000001
2018-10-24 02:15:56-07:00,1703.3,509,7.0,,,140.0,509,3.346,18.0,5699.2418
2018-10-24 01:37:54-07:00,7227.4,1995,30.0,,,145.6,1711,4.224,17.0,30528.5376
2018-10-24 01:06:31-07:00,4005.6,1464,16.0,,,140.0,1097,3.651,19.0,14624.4456
2018-10-20 23:11:08-07:00,11551.3,3542,271.0,,,151.0,3467,3.332,27.0,38488.931599999996
2018-10-18 22:50:41-07:00,5773.9,1493,64.0,,,135.0,1479,3.904,25.0,22541.3056
2018-10-18 18:43:18-07:00,18444.8,6180,251.0,,,142.5,6102,3.023,23.0,55758.6304
2018-10-17 15:30:00-07:00,3621.0,720,0.0,,,,720,5.029,,18210.009
2018-10-17 01:40:03-07:00,5480.9,1299,23.0,,,149.2,1299,4.219,16.0,23123.9171
2018-10-17 01:09:55-07:00,3956.8,1485,34.0,,,138.1,1144,3.459,21.0,13686.5712
2018-10-13 16:28:50-07:00,1874.8,541,8.0,,,153.9,541,3.465,24.0,6496.182
2018-10-13 15:39:57-07:00,12883.5,2830,46.0,,,161.3,2830,4.552,20.0,58645.691999999995
2018-10-13 15:09:51-07:00,3415.1,1408,20.0,,,130.4,967,3.532,19.0,12062.1332
2018-10-11 22:24:01-07:00,11018.2,4637,123.0,,,137.2,2774,3.972,23.0,43764.290400000005
2018-10-11 00:36:37-07:00,8381.5,2301,26.0,,,141.7,2301,3.643,20.0,30533.8045
2018-10-10 02:17:53-07:00,1717.2,462,9.0,,,147.6,462,3.717,21.0,6382.8324
2018-10-10 01:47:32-07:00,6848.1,1319,33.0,,,146.7,1319,5.192,18.0,35555.3352
2018-10-10 01:21:09-07:00,3392.0,874,15.0,,,121.9,874,3.881,18.0,13164.351999999999
2018-10-08 19:14:42-07:00,9168.7,2843,272.0,,,138.7,2778,3.3,25.0,30256.71
2018-10-04 22:17:38-07:00,12799.5,6386,35.0,,,,3581,3.574,,45745.413
2018-10-03 23:41:59-07:00,8388.4,2177,21.0,,,137.2,2169,3.867,21.0,32437.942799999997
2018-10-01 23:08:00-07:00,7397.7,2504,29.0,,,141.2,2082,3.553,23.0,26284.0281
2018-10-01 22:33:13-07:00,8497.7,2493,23.6,,,,2419,3.513,,29852.420100000003
2018-09-26 17:41:59+02:00,8072.7,2577,65.0,,,144.1,2434,3.317,17.0,26777.1459
2018-09-25 12:26:23+02:00,9221.6,2948,25.0,,,145.0,2630,3.506,19.0,32330.9296
2018-09-22 15:51:55+01:00,12781.3,4015,248.0,,,146.0,3822,3.344,15.0,42740.667199999996
2018-09-21 11:31:31+01:00,9760.1,2953,100.0,,,144.9,2869,3.402,17.0,33203.8602
2018-09-16 14:08:04-07:00,12109.8,4324,337.0,,,145.3,4100,2.954,14.0,35772.3492
2018-09-15 23:48:29-07:00,4858.8,5102,16.0,,,140.1,1794,2.708,25.0,13157.630400000002
2018-09-14 21:43:48-07:00,8359.4,2076,31.0,,,139.6,2064,4.05,24.0,33855.57
2018-09-14 00:20:45-07:00,8341.0,2597,188.0,,,151.1,2518,3.313,23.0,27633.733
2018-09-08 15:27:58-06:00,7088.6,5954,430.0,,,107.3,5861,1.209,22.0,8570.117400000001
2018-09-07 11:00:02-06:00,65344.0,47479,3105.0,,,131.2,37343,1.75,23.0,114352.0
2018-09-05 02:15:09-07:00,1674.3,541,7.0,,,136.5,529,3.165,20.0,5299.1595
2018-08-26 07:08:01-07:00,49949.0,30831,2139.0,,,132.3,27493,1.817,12.0,90757.333
2018-08-24 22:47:58-07:00,6393.9,1982,20.0,,,141.7,1834,3.486,22.0,22289.1354
2018-08-22 18:30:00-07:00,3218.7,1020,0.0,,,,1020,3.156,,10158.2172
2018-08-22 17:28:49-07:00,14198.7,5982,227.0,,,150.9,4900,2.898,20.0,41147.8326
2018-08-22 02:27:35-07:00,1753.7,512,6.0,,,148.7,512,3.425,21.0,6006.4225
2018-08-22 01:45:40-07:00,8988.2,2301,39.0,,,146.9,2300,3.908,18.0,35125.8856
2018-08-22 01:15:34-07:00,4227.4,1328,13.0,,,136.6,1194,3.541,20.0,14969.223399999999
2018-08-19 22:37:29-07:00,19332.8,5785,131.0,,,143.1,5511,3.508,20.0,67819.4624
2018-08-18 17:42:47-07:00,1775.5,1189,32.0,,,126.3,701,2.533,26.0,4497.3414999999995
2018-08-18 16:46:29-07:00,6528.3,1411,117.0,,,146.0,1411,4.627,21.0,30206.4441
2018-08-18 16:30:56-07:00,2156.5,818,44.0,,,137.9,688,3.134,23.0,6758.471
2018-08-17 22:36:26-07:00,7794.7,2676,126.0,,,148.3,2401,3.246,28.0,25301.5962
2018-08-16 14:21:44-07:00,1768.4,471,3.0,,,153.9,466,3.795,18.0,6711.078
2018-08-16 13:56:53-07:00,6738.2,1323,23.0,,,151.5,1323,5.093,15.0,34317.6526
2018-08-16 13:34:05-07:00,3891.3,1222,26.0,,,138.3,1139,3.416,18.0,13292.6808
